Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
size;recursive_merge.c;66;0.4058570861816406;0-2;LSB bit-flip
tmp;recursive_merge.c;40;1.1943392753601074;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.16065382957458496;0-2;LSB bit-flip
l;recursive_merge.c;40;1.457740068435669;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.21415972709655762;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.5725312232971191;0-2;LSB bit-flip
l;recursive_merge.c;40;0.6925442218780518;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.4313356876373291;0-2;LSB bit-flip
tmp;recursive_merge.c;40;1.3337798118591309;0-2;LSB bit-flip
r;recursive_merge.c;40;1.569237232208252;0-2;LSB bit-flip
tmp;recursive_merge.c;40;0.6869792938232422;0-2;LSB bit-flip
r;recursive_merge.c;40;1.0416104793548584;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;168;1.0901079177856445;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.21286320686340332;0-2;LSB bit-flip
X;recursive_merge.c;40;1.1748228073120117;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.9080052375793457;0-2;LSB bit-flip
l;recursive_merge.c;40;1.423537015914917;0-2;LSB bit-flip
r;recursive_merge.c;40;1.128981590270996;0-2;LSB bit-flip
X;recursive_merge.c;40;0.6518163681030273;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.073277473449707;0-2;LSB bit-flip
X;recursive_merge.c;40;0.441927433013916;0-2;LSB bit-flip
tmp;recursive_merge.c;40;0.291414737701416;0-2;LSB bit-flip
r;recursive_merge.c;40;0.8428857326507568;0-2;LSB bit-flip
r;recursive_merge.c;40;1.0585272312164307;0-2;LSB bit-flip
tmp;recursive_merge.c;40;1.3693084716796875;0-2;LSB bit-flip
r;recursive_merge.c;40;0.5726470947265625;0-2;LSB bit-flip
outputFile;recursive_merge.c;67;0.8364086151123047;0-2;LSB bit-flip
tmp;recursive_merge.c;40;1.3633098602294922;0-2;LSB bit-flip
tmp;recursive_merge.c;40;1.599355936050415;0-2;LSB bit-flip
X;recursive_merge.c;40;0.768484354019165;0-2;LSB bit-flip
r;recursive_merge.c;40;1.0213887691497803;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.0104873180389404;0-2;LSB bit-flip
l;recursive_merge.c;40;1.0596880912780762;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.46689319610595703;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.048299789428711;0-2;LSB bit-flip
l;recursive_merge.c;40;0.7767937183380127;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.8776545524597168;0-2;LSB bit-flip
X;recursive_merge.c;40;0.927696704864502;0-2;LSB bit-flip
r;recursive_merge.c;40;1.3189306259155273;0-2;LSB bit-flip
X;recursive_merge.c;40;0.7129747867584229;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.8977346420288086;0-2;LSB bit-flip
r;recursive_merge.c;40;1.2080774307250977;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.3629271984100342;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.0137178897857666;0-2;LSB bit-flip
tmp;recursive_merge.c;40;1.1314945220947266;0-2;LSB bit-flip
tmp;recursive_merge.c;40;1.6900732517242432;0-2;LSB bit-flip
outputFile;recursive_merge.c;67;1.7110962867736816;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.6127529144287109;0-2;LSB bit-flip
l;recursive_merge.c;40;0.8100583553314209;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.8170597553253174;0-2;LSB bit-flip
X;recursive_merge.c;40;1.5208282470703125;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.9035003185272217;0-2;LSB bit-flip
r;recursive_merge.c;40;1.350337266921997;0-2;LSB bit-flip
outputFile;recursive_merge.c;67;1.050471544265747;0-2;LSB bit-flip
tmp;recursive_merge.c;40;1.5943362712860107;0-2;LSB bit-flip
mid;recursive_merge.c;43;0.40659427642822266;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.7718057632446289;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.3602001667022705;0-2;LSB bit-flip
r;recursive_merge.c;40;0.9836862087249756;0-2;LSB bit-flip
l;recursive_merge.c;40;1.3760030269622803;0-2;LSB bit-flip
r;recursive_merge.c;40;1.281043291091919;0-2;LSB bit-flip
r;recursive_merge.c;40;0.8656537532806396;0-2;LSB bit-flip
tmp;recursive_merge.c;40;1.167222261428833;0-2;LSB bit-flip
tmp;recursive_merge.c;40;1.178523302078247;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.6888437271118164;0-2;LSB bit-flip
r;recursive_merge.c;40;1.4943029880523682;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.7776226997375488;0-2;LSB bit-flip
r;recursive_merge.c;40;0.810133695602417;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;168;0.8355538845062256;0-2;LSB bit-flip
tmp;recursive_merge.c;40;1.2136800289154053;0-2;LSB bit-flip
r;recursive_merge.c;40;1.1996533870697021;0-2;LSB bit-flip
r;recursive_merge.c;6;1.917436122894287;0-2;LSB bit-flip
X;recursive_merge.c;40;1.241497278213501;0-2;LSB bit-flip
l;recursive_merge.c;40;0.990933895111084;0-2;LSB bit-flip
_rtld_global;rtld.c;140;0.2690000534057617;0-2;LSB bit-flip
X;recursive_merge.c;40;0.8783948421478271;0-2;LSB bit-flip
l;recursive_merge.c;40;1.550588607788086;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.6073310375213623;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.21504735946655273;0-2;LSB bit-flip
X;recursive_merge.c;40;0.9130074977874756;0-2;LSB bit-flip
r;recursive_merge.c;40;0.4937610626220703;0-2;LSB bit-flip
X;recursive_merge.c;6;1.5812220573425293;0-2;LSB bit-flip
r;recursive_merge.c;40;0.4771881103515625;0-2;LSB bit-flip
tmp;recursive_merge.c;40;0.6928746700286865;0-2;LSB bit-flip
ti;recursive_merge.c;10;1.2485742568969727;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.5225398540496826;0-2;LSB bit-flip
tmp;recursive_merge.c;40;0.5873961448669434;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.3556532859802246;0-2;LSB bit-flip
tmp;recursive_merge.c;40;0.6867578029632568;0-2;LSB bit-flip
r;recursive_merge.c;40;1.5506720542907715;0-2;LSB bit-flip
_rtld_local_ro;rtld.c;202;1.1428380012512207;0-2;LSB bit-flip
r;recursive_merge.c;40;3.706087589263916;0-2;LSB bit-flip
tmp;recursive_merge.c;68;0.26996827125549316;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;168;0.38390541076660156;0-2;LSB bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;56;0.7134897708892822;0-2;LSB bit-flip
l;recursive_merge.c;40;0.8657693862915039;0-2;LSB bit-flip
__libc_enable_secure;../elf/dl-sysdep.c;57;0.4076542854309082;0-2;LSB bit-flip
__pointer_chk_guard_local;rtld.c;96;0.6382606029510498;0-2;LSB bit-flip
X;recursive_merge.c;40;1.0050246715545654;0-2;LSB bit-flip
mid;recursive_merge.c;43;0.7043311595916748;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;1.0761067867279053;0-2;LSB bit-flip
l;recursive_merge.c;40;1.3125224113464355;0-2;LSB bit-flip
_rtld_local;rtld.c;162;0.20117902755737305;0-2;LSB bit-flip
start_time;rtld.c;217;0.2969193458557129;0-2;LSB bit-flip
l;recursive_merge.c;40;0.5680899620056152;0-2;LSB bit-flip
r;recursive_merge.c;40;1.2504363059997559;0-2;LSB bit-flip
X;recursive_merge.c;40;0.9865477085113525;0-2;LSB bit-flip
library_path;rtld.c;743;0.7668485641479492;0-2;LSB bit-flip
